TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Fatality),2016,3,31,19,17,13XX BLOCK SW MARINE DR,Marpole,490157,5450041
Vehicle Collision or Pedestrian Struck (with Fatality),2003,8,16,4,0,13XX BLOCK W 15TH AVE,Shaughnessy,490168,5456112
Vehicle Collision or Pedestrian Struck (with Fatality),2004,7,8,0,15,14XX BLOCK SW MARINE DR,Marpole,489834,5450195
Vehicle Collision or Pedestrian Struck (with Fatality),2017,12,19,2,4,14XX BURRARD STREET BRDG,,490027.3016,5458076.921
Vehicle Collision or Pedestrian Struck (with Fatality),2005,6,7,0,47,14XX CAMBIE STREET BRDG,,491642.1726,5457693.202
Vehicle Collision or Pedestrian Struck (with Fatality),2009,2,6,12,5,15XX BLOCK E BROADWAY AVE,Grandview-Woodland,494688,5456624
Vehicle Collision or Pedestrian Struck (with Fatality),2021,9,8,5,33,15XX MAIN ST,Mount Pleasant,492707,5457675
Vehicle Collision or Pedestrian Struck (with Fatality),2009,2,9,8,44,15XX RAND AVE,Marpole,489545,5450397
Vehicle Collision or Pedestrian Struck (with Fatality),2014,10,3,18,18,15XX STANLEY PARK DR,Stanley Park,491364,5460626
Vehicle Collision or Pedestrian Struck (with Fatality),2016,7,28,15,40,16XX BLOCK DURANLEAU ST,Fairview,490109,5457660
Vehicle Collision or Pedestrian Struck (with Fatality),2013,6,28,13,25,16XX E 13TH AVE,Kensington-Cedar Cottage,494777,5456217
Vehicle Collision or Pedestrian Struck (with Fatality),2007,7,6,4,15,17XX BLOCK E 49TH AVE,Victoria-Fraserview,494808,5452495
Vehicle Collision or Pedestrian Struck (with Fatality),2021,10,30,22,55,17XX BLOCK E BROADWAY AVE,Kensington-Cedar Cottage,494939,5456620
Vehicle Collision or Pedestrian Struck (with Fatality),2019,12,29,5,32,17XX BLOCK RENFREW ST,Hastings-Sunrise,496783,5457386
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,16,9,55,17XX BLOCK ROBSON ST,West End,490245,5459774
Vehicle Collision or Pedestrian Struck (with Fatality),2003,3,21,12,10,18XX BLOCK CLARK DR,Grandview-Woodland,494395,5457285
Vehicle Collision or Pedestrian Struck (with Fatality),2004,12,5,17,55,19XX BLOCK ARGYLE DR,Victoria-Fraserview,494891,5451737
Vehicle Collision or Pedestrian Struck (with Fatality),2005,12,23,4,4,19XX BLOCK E 41ST AVE,Victoria-Fraserview,495146,5453310
Vehicle Collision or Pedestrian Struck (with Fatality),2005,10,20,18,25,19XX BLOCK E BROADWAY AVE,Kensington-Cedar Cottage,495275,5456590
Vehicle Collision or Pedestrian Struck (with Fatality),2007,8,16,20,10,19XX BLOCK GRANVILLE STREET BRDG,Fairview,489951,5457344
Vehicle Collision or Pedestrian Struck (with Fatality),2007,9,15,4,48,19XX GRANVILLE STREET BRDG,Fairview,489951,5457344
Vehicle Collision or Pedestrian Struck (with Fatality),2015,10,28,7,10,1XX BLOCK E HASTINGS ST,Central Business District,492598,5458742
Vehicle Collision or Pedestrian Struck (with Fatality),2015,3,19,12,30,1XX BLOCK N NANAIMO ST,Grandview-Woodland,495889,5459234
Vehicle Collision or Pedestrian Struck (with Fatality),2008,1,13,2,48,1XX BLOCK W 2ND AVE,Mount Pleasant,492212,5457397
Vehicle Collision or Pedestrian Struck (with Fatality),2007,5,30,14,35,1XX BLOCK W 41ST AVE,Riley Park,492096,5453393
Vehicle Collision or Pedestrian Struck (with Fatality),2013,6,30,20,21,1XX E HASTINGS ST,Central Business District,492594,5458743
Vehicle Collision or Pedestrian Struck (with Fatality),2006,7,1,5,55,1XX W CORDOVA ST,Central Business District,492203,5458922
Vehicle Collision or Pedestrian Struck (with Fatality),2008,6,30,14,51,20XX BLOCK MAIN ST,Mount Pleasant,492670,5457164
Vehicle Collision or Pedestrian Struck (with Fatality),2022,6,20,2,23,20XX BLOCK W 4TH AVE,Kitsilano,489030,5457269
Vehicle Collision or Pedestrian Struck (with Fatality),2014,7,31,8,25,20XX GRANVILLE STREET BRDG,Fairview,489927,5457141
Vehicle Collision or Pedestrian Struck (with Fatality),2022,1,7,12,46,20XX VENABLES ST,Grandview-Woodland,495439,5458209
Vehicle Collision or Pedestrian Struck (with Fatality),2018,8,15,10,38,21XX BLOCK W BROADWAY AVE,Kitsilano,488844,5456796
Vehicle Collision or Pedestrian Struck (with Fatality),2010,8,24,18,45,21XX HEMLOCK ST,Fairview,490102,5457059
Vehicle Collision or Pedestrian Struck (with Fatality),2007,7,1,18,30,22XX BLOCK SW MARINE DR,Kerrisdale,488455,5451942
Vehicle Collision or Pedestrian Struck (with Fatality),2021,2,4,12,55,22XX MARLIN QUAY,Victoria-Fraserview,495640,5450478
Vehicle Collision or Pedestrian Struck (with Fatality),2003,9,23,17,45,23XX BLOCK BURRARD ST,Fairview,489423,5456930
Vehicle Collision or Pedestrian Struck (with Fatality),2013,5,20,20,30,23XX LIONS GATE BRDG,Stanley Park,489653,5462071
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,31,15,15,23XX W 4TH AVE,Kitsilano,488458,5457310
Vehicle Collision or Pedestrian Struck (with Fatality),2008,7,15,16,26,24XX BLOCK CLARK DR,Mount Pleasant,494359,5456719
Vehicle Collision or Pedestrian Struck (with Fatality),2011,1,16,4,28,25XX BLOCK MACDONALD ST,Kitsilano,487765,5456811
Vehicle Collision or Pedestrian Struck (with Fatality),2008,6,28,16,15,26XX BLOCK E BROADWAY AVE,Hastings-Sunrise,496233,5456584
Vehicle Collision or Pedestrian Struck (with Fatality),2016,3,10,3,41,27XX BLOCK W BROADWAY AVE,Kitsilano,487867,5456824
Vehicle Collision or Pedestrian Struck (with Fatality),2005,11,10,10,30,27XX KINGSWAY AVE,Renfrew-Collingwood,496365,5453925
Vehicle Collision or Pedestrian Struck (with Fatality),2005,4,16,3,10,28XX BLOCK HEMLOCK ST,Fairview,490089,5456434
Vehicle Collision or Pedestrian Struck (with Fatality),2012,6,11,15,30,28XX BLOCK W BROADWAY AVE,Kitsilano,487742,5456827
Vehicle Collision or Pedestrian Struck (with Fatality),2022,2,2,7,13,29XX BLOCK E PENDER ST,Hastings-Sunrise,496826,5458607
Vehicle Collision or Pedestrian Struck (with Fatality),2020,11,13,22,31,29XX GRANVILLE ST,Fairview,489906,5456332
Vehicle Collision or Pedestrian Struck (with Fatality),2008,1,16,22,41,29XX MAIN ST,Mount Pleasant,492643,5456271
Vehicle Collision or Pedestrian Struck (with Fatality),2008,11,20,12,13,29XX W BROADWAY AVE,Kitsilano,487584,5456830
Vehicle Collision or Pedestrian Struck (with Fatality),2011,7,15,0,28,2XX BLOCK E CORDOVA ST,Strathcona,492779,5458841
Vehicle Collision or Pedestrian Struck (with Fatality),2013,2,8,5,24,2XX BLOCK GEORGIA VIA,Central Business District,492484,5458271
Vehicle Collision or Pedestrian Struck (with Fatality),2018,7,21,7,58,2XX BLOCK GORE AVE,Strathcona,492896,5458913
Vehicle Collision or Pedestrian Struck (with Fatality),2014,12,10,19,51,2XX BLOCK MAIN ST,Central Business District,492758,5458926
Vehicle Collision or Pedestrian Struck (with Fatality),2008,9,10,11,52,2XX BLOCK POWELL ST,Strathcona,492782,5458942
Vehicle Collision or Pedestrian Struck (with Fatality),2021,5,26,15,30,2XX UNION ST,Strathcona,492771,5458329
Vehicle Collision or Pedestrian Struck (with Fatality),2012,2,10,3,0,30XX BLOCK E HASTINGS ST,Hastings-Sunrise,496986,5458712
Vehicle Collision or Pedestrian Struck (with Fatality),2016,3,8,23,50,31XX BLOCK E 41ST AVE,Killarney,496990,5453347
Vehicle Collision or Pedestrian Struck (with Fatality),2011,3,14,10,27,31XX BLOCK GRANDVIEW HWY,Renfrew-Collingwood,497188,5456151
Vehicle Collision or Pedestrian Struck (with Fatality),2003,6,22,5,15,32XX BLOCK COMMERCIAL DR,Kensington-Cedar Cottage,494993,5455840
Vehicle Collision or Pedestrian Struck (with Fatality),2006,3,4,14,34,33XX BLOCK MARINE WAY,Killarney,497401,5450446
Vehicle Collision or Pedestrian Struck (with Fatality),2005,4,29,1,35,33XX MARINE WAY,Killarney,497401,5450446
Vehicle Collision or Pedestrian Struck (with Fatality),2016,10,2,5,41,34XX BLOCK E HASTINGS ST,Hastings-Sunrise,497742,5458710
Vehicle Collision or Pedestrian Struck (with Fatality),2005,12,21,19,42,34XX BLOCK SE MARINE DR,Killarney,497687,5450601
Vehicle Collision or Pedestrian Struck (with Fatality),2018,5,27,5,18,35XX BLOCK CAMBIE ST,Riley Park,491616,5455679
Vehicle Collision or Pedestrian Struck (with Fatality),2003,10,1,23,12,35XX W BROADWAY AVE,Kitsilano,486698,5456831
Vehicle Collision or Pedestrian Struck (with Fatality),2009,8,8,3,13,37XX BLOCK ARBUTUS ST,Arbutus Ridge,488865,5455646
Vehicle Collision or Pedestrian Struck (with Fatality),2009,11,28,17,25,3XX BLOCK PRIOR ST,Strathcona,492989,5458216
Vehicle Collision or Pedestrian Struck (with Fatality),2020,12,18,14,13,3XX BLOCK W BROADWAY,Mount Pleasant,491904,5456716
Vehicle Collision or Pedestrian Struck (with Fatality),2021,9,27,11,22,3XX BLOCK W CORDOVA ST,Central Business District,492052,5458992
Vehicle Collision or Pedestrian Struck (with Fatality),2015,4,27,15,37,3XX SE MARINE DR,Sunset,492765,5450886
Vehicle Collision or Pedestrian Struck (with Fatality),2005,11,3,13,20,41XX BLOCK NANAIMO ST,Renfrew-Collingwood,495877,5455055
Vehicle Collision or Pedestrian Struck (with Fatality),2018,3,4,2,57,42XX BLOCK W 16TH AVE,Dunbar-Southlands,485399,5456167
Vehicle Collision or Pedestrian Struck (with Fatality),2017,8,6,9,18,42XX BLOCK W 4TH AVE,West Point Grey,485442,5457333
Vehicle Collision or Pedestrian Struck (with Fatality),2021,10,10,23,25,42XX NAUTILUS CLS,West Point Grey,485300,5457357
Vehicle Collision or Pedestrian Struck (with Fatality),2007,11,20,1,44,42XX W 4TH AVE,West Point Grey,485442,5457333
Vehicle Collision or Pedestrian Struck (with Fatality),2007,8,1,20,47,45XX BLOCK NANAIMO ST,Kensington-Cedar Cottage,495876,5454616
Vehicle Collision or Pedestrian Struck (with Fatality),2005,2,28,11,10,48XX BLOCK NANAIMO ST,Kensington-Cedar Cottage,495740,5454292
Vehicle Collision or Pedestrian Struck (with Fatality),2010,6,12,12,24,49XX BLOCK OAK ST,Shaughnessy,490697,5454356
Vehicle Collision or Pedestrian Struck (with Fatality),2019,5,18,22,15,4XX BLOCK E 57TH AVE,Sunset,492912,5451738
Vehicle Collision or Pedestrian Struck (with Fatality),2006,7,21,1,52,4XX BLOCK E BROADWAY AVE,Mount Pleasant,493053,5456647
Vehicle Collision or Pedestrian Struck (with Fatality),2008,12,16,15,27,4XX BLOCK KINGSWAY AVE,Mount Pleasant,493014,5456301
Vehicle Collision or Pedestrian Struck (with Fatality),2017,4,2,22,48,4XX BLOCK SE MARINE DR,Sunset,492960,5450912
Vehicle Collision or Pedestrian Struck (with Fatality),2021,6,2,2,36,51XX BLOCK CAMBIE ST,Riley Park,491530,5454014
Vehicle Collision or Pedestrian Struck (with Fatality),2004,5,3,3,25,52XX BLOCK GRANVILLE ST,Shaughnessy,489876,5453978
Vehicle Collision or Pedestrian Struck (with Fatality),2015,8,11,2,25,53XX BLOCK BOUNDARY RD,Renfrew-Collingwood,498282,5453714
Vehicle Collision or Pedestrian Struck (with Fatality),2005,10,26,17,25,56XX BLOCK BLENHEIM ST,Dunbar-Southlands,487015,5453620
Vehicle Collision or Pedestrian Struck (with Fatality),2021,10,12,23,40,56XX BLOCK STAMFORD ST,Renfrew-Collingwood,497707,5453404
Vehicle Collision or Pedestrian Struck (with Fatality),2020,3,7,18,53,59XX BLOCK WEST BLVD,Kerrisdale,488669,5453336
Vehicle Collision or Pedestrian Struck (with Fatality),2019,11,24,13,54,5XX BLOCK NELSON ST,Central Business District,491184,5458374
Vehicle Collision or Pedestrian Struck (with Fatality),2003,11,28,20,56,5XX CENTENNIAL RD,Strathcona,493480,5459256
Vehicle Collision or Pedestrian Struck (with Fatality),2015,1,3,19,44,63XX BLOCK ELLIOTT ST,Victoria-Fraserview,496020,5452651
Vehicle Collision or Pedestrian Struck (with Fatality),2014,10,2,22,40,65XX BLOCK MAIN ST,Sunset,492599,5452528
Vehicle Collision or Pedestrian Struck (with Fatality),2007,1,11,20,18,65XX BLOCK OAK ST,Oakridge,490658,5452624
Vehicle Collision or Pedestrian Struck (with Fatality),2006,9,17,16,39,69XX BLOCK FLEMING ST,Victoria-Fraserview,494662,5452085
Vehicle Collision or Pedestrian Struck (with Fatality),2016,4,17,4,32,69XX BLOCK HEATHER ST,Oakridge,490993,5452249
Vehicle Collision or Pedestrian Struck (with Fatality),2019,4,1,20,57,6XX BLOCK E 49TH AVE,Sunset,493277,5452527
Vehicle Collision or Pedestrian Struck (with Fatality),2018,7,7,11,33,6XX BLOCK E HASTINGS ST,Strathcona,493371,5458719
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,13,0,8,6XX BLOCK ROBSON ST,Central Business District,491305,5458688
Vehicle Collision or Pedestrian Struck (with Fatality),2011,10,15,22,58,6XX BLOCK TERMINAL AVE,Strathcona,493406,5457601
Vehicle Collision or Pedestrian Struck (with Fatality),2013,3,4,22,49,6XX E HASTINGS ST,Strathcona,493371,5458719
Vehicle Collision or Pedestrian Struck (with Fatality),2010,7,5,15,20,6XX E KING EDWARD AVE,Riley Park,493318,5455103
Vehicle Collision or Pedestrian Struck (with Fatality),2004,2,8,22,42,74XX BLOCK MAIN ST,Sunset,492601,5451603
Vehicle Collision or Pedestrian Struck (with Fatality),2003,1,9,14,23,76XX WEST BOULEVARD BLVD,Kerrisdale,489187,5451555
Vehicle Collision or Pedestrian Struck (with Fatality),2003,9,3,4,45,77XX BLOCK KNIGHT ST,Victoria-Fraserview,494410,5451270
Vehicle Collision or Pedestrian Struck (with Fatality),2008,1,28,2,15,7XX BLOCK E 12TH AVE,Mount Pleasant,493535,5456334
Vehicle Collision or Pedestrian Struck (with Fatality),2006,3,2,9,36,7XX BLOCK GORE AVE,Strathcona,492941,5458407
Vehicle Collision or Pedestrian Struck (with Fatality),2003,1,7,11,24,7XX E BROADWAY AVE,Mount Pleasant,493585,5456613
Vehicle Collision or Pedestrian Struck (with Fatality),2022,1,7,15,45,7XX NATIONAL AVE,Strathcona,493636,5457776
Vehicle Collision or Pedestrian Struck (with Fatality),2013,6,15,11,5,80XX BLOCK ROSS ST,Sunset,493941,5451052
Vehicle Collision or Pedestrian Struck (with Fatality),2003,3,22,17,50,81XX KNIGHT STREET BRDG,Sunset,494346,5450820
Vehicle Collision or Pedestrian Struck (with Fatality),2017,6,18,14,17,82XX BLOCK BOUNDARY RD,Killarney,498248,5450780
Vehicle Collision or Pedestrian Struck (with Fatality),2004,10,24,4,25,83XX BLOCK MATHESON CRES,Killarney,497858,5450685
Vehicle Collision or Pedestrian Struck (with Fatality),2019,11,30,10,33,84XX BLOCK BOUNDARY RD,Killarney,498276,5450597
Vehicle Collision or Pedestrian Struck (with Fatality),2006,1,2,21,38,85XX BLOCK FRASER ST,Sunset,493357,5450492
Vehicle Collision or Pedestrian Struck (with Fatality),2007,10,14,0,40,85XX BLOCK OAK ST,Marpole,490514,5450734
Vehicle Collision or Pedestrian Struck (with Fatality),2016,5,17,16,53,85XX STANLEY PARK DR,Stanley Park,489106,5460343
Vehicle Collision or Pedestrian Struck (with Fatality),2004,5,28,23,25,87XX BLOCK HUDSON ST,Marpole,490215,5450403
Vehicle Collision or Pedestrian Struck (with Fatality),2004,5,29,5,30,8XX BLOCK EXPO BLVD,Central Business District,491815,5458301
Vehicle Collision or Pedestrian Struck (with Fatality),2022,2,25,10,33,8XX BLOCK GRANVILLE ST,Central Business District,491267,5458723
Vehicle Collision or Pedestrian Struck (with Fatality),2006,6,11,0,12,8XX BLOCK HOWE ST,Central Business District,491192,5458795
Vehicle Collision or Pedestrian Struck (with Fatality),2021,11,13,20,51,8XX BLOCK KINGSWAY AVE,Kensington-Cedar Cottage,493660,5455857
Vehicle Collision or Pedestrian Struck (with Fatality),2003,4,8,21,30,8XX SEYMOUR ST,Central Business District,491319,5458593
Vehicle Collision or Pedestrian Struck (with Fatality),2004,9,28,3,37,91XX BLOCK STANLEY PARK DR,Stanley Park,489291,5459853
Vehicle Collision or Pedestrian Struck (with Fatality),2017,8,13,11,47,9XX BLOCK CANADA PL,Central Business District,491692,5459452
Vehicle Collision or Pedestrian Struck (with Fatality),2003,12,28,12,47,9XX BLOCK E 7TH AVE,Mount Pleasant,493871,5456815
Vehicle Collision or Pedestrian Struck (with Fatality),2008,8,23,21,13,9XX BLOCK POWELL ST,Strathcona,493905,5458887
Vehicle Collision or Pedestrian Struck (with Fatality),2003,8,25,14,27,ABBOTT ST / W PENDER ST,Central Business District,492175,5458706
Vehicle Collision or Pedestrian Struck (with Fatality),2018,8,27,9,52,BIDWELL ST / ROBSON ST,West End,490264,5459755
Vehicle Collision or Pedestrian Struck (with Fatality),2003,6,24,1,30,BOUNDARY RD / E 22ND AVE,Renfrew-Collingwood,498268,5455320
Vehicle Collision or Pedestrian Struck (with Fatality),2019,8,22,15,58,BOUNDARY RD / RUMBLE AVE,Killarney,498266,5451335
Vehicle Collision or Pedestrian Struck (with Fatality),2012,11,9,9,49,BURRARD ST / W 2ND AVE,Kitsilano,489410,5457457
Vehicle Collision or Pedestrian Struck (with Fatality),2009,12,11,17,26,CAMBIE ST / DUNSMUIR ST,Central Business District,491886,5458643
Vehicle Collision or Pedestrian Struck (with Fatality),2017,12,24,12,33,CAMBIE ST / DUNSMUIR ST,Central Business District,491886,5458643
Vehicle Collision or Pedestrian Struck (with Fatality),2004,6,25,13,21,CAMBIE ST / W 30TH AVE,South Cambie,491454,5454559
Vehicle Collision or Pedestrian Struck (with Fatality),2005,2,12,18,9,CAMBIE ST / W 54TH AVE,Oakridge,491494,5452110
Vehicle Collision or Pedestrian Struck (with Fatality),2019,2,17,1,27,CAMBIE ST / W 57TH AVE,Oakridge,491504,5451814
Vehicle Collision or Pedestrian Struck (with Fatality),2022,5,6,18,31,CAMBIE ST / W 64TH AVE,Marpole,491465,5451065
Vehicle Collision or Pedestrian Struck (with Fatality),2022,3,7,10,12,CARRALL ST / W HASTINGS ST,Central Business District,492412,5458751
Vehicle Collision or Pedestrian Struck (with Fatality),2012,4,24,4,32,CASSIAR ST / DUNDAS ST,Hastings-Sunrise,497754,5459115
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,24,20,0,CHARLES ST / RENFREW ST,Hastings-Sunrise,496787,5457834
Vehicle Collision or Pedestrian Struck (with Fatality),2006,7,28,6,40,CLARK DR / N GRANDVIEW HWY,Strathcona,494368,5457062
Vehicle Collision or Pedestrian Struck (with Fatality),2020,9,1,10,47,COLUMBIA ST / E HASTINGS ST,Central Business District,492562,5458743
Vehicle Collision or Pedestrian Struck (with Fatality),2017,11,1,15,28,COLUMBIA ST / E PENDER ST,Central Business District,492561,5458637
Vehicle Collision or Pedestrian Struck (with Fatality),2020,8,20,17,48,COLUMBIA ST / W KING EDWARD AVE,Riley Park,491993,5455137
Vehicle Collision or Pedestrian Struck (with Fatality),2019,2,5,10,16,COMMERCIAL DR / E HASTINGS ST,Grandview-Woodland,494879,5458723
Vehicle Collision or Pedestrian Struck (with Fatality),2017,4,23,6,35,COMMERCIAL DR / VICTORIA DVRS,Kensington-Cedar Cottage,495051,5455722
Vehicle Collision or Pedestrian Struck (with Fatality),2015,1,16,14,50,DAVIE ST / THURLOW ST,West End,490456,5458633
Vehicle Collision or Pedestrian Struck (with Fatality),2009,10,9,14,32,DENMAN ST / DAVIE ST,West End,489687,5459401
Vehicle Collision or Pedestrian Struck (with Fatality),2019,1,11,12,38,DUMFRIES ST / E 33RD AVE,Kensington-Cedar Cottage,494640,5454159
Vehicle Collision or Pedestrian Struck (with Fatality),2003,1,13,10,8,DUNBAR ST / W 33RD AVE,Dunbar-Southlands,486516,5454416
Vehicle Collision or Pedestrian Struck (with Fatality),2012,10,27,22,37,DUNLEVY AVE / POWELL ST,Strathcona,493066,5458933
Vehicle Collision or Pedestrian Struck (with Fatality),2017,9,17,19,42,E 12TH AVE / COMMERCIAL DR,Kensington-Cedar Cottage,494917,5456315
Vehicle Collision or Pedestrian Struck (with Fatality),2012,3,27,8,39,E 12TH AVE / WINDSOR ST,Mount Pleasant,493935,5456328
Vehicle Collision or Pedestrian Struck (with Fatality),2004,2,20,2,42,E 14TH AVE / CLARK DR,Mount Pleasant,494353,5456120
Vehicle Collision or Pedestrian Struck (with Fatality),2013,5,29,0,20,E 1ST AVE / NOOTKA ST,Hastings-Sunrise,496983,5457402
Vehicle Collision or Pedestrian Struck (with Fatality),2013,5,6,14,25,E 1ST AVE / RENFREW ST,Hastings-Sunrise,496782,5457402
Vehicle Collision or Pedestrian Struck (with Fatality),2007,2,1,12,0,E 1ST AVE / RUPERT ST,Hastings-Sunrise,497540,5457400
Vehicle Collision or Pedestrian Struck (with Fatality),2012,8,1,12,25,E 20TH AVE / KNIGHT ST,Kensington-Cedar Cottage,494469,5455539
Vehicle Collision or Pedestrian Struck (with Fatality),2011,4,6,17,19,E 22ND AVE / BOYD DVRS,Renfrew-Collingwood,496782,5455313
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,27,1,51,E 29TH AVE / RUPERT ST,Renfrew-Collingwood,497518,5454638
Vehicle Collision or Pedestrian Struck (with Fatality),2019,1,18,2,14,E 41ST AVE / COMMERCIAL ST,Kensington-Cedar Cottage,494999,5453319
Vehicle Collision or Pedestrian Struck (with Fatality),2017,8,22,10,33,E 41ST AVE / FRASER ST,Sunset,493407,5453341
Vehicle Collision or Pedestrian Struck (with Fatality),2011,5,1,1,35,E 41ST AVE / KILLARNEY ST,Killarney,496655,5453354
Vehicle Collision or Pedestrian Struck (with Fatality),2006,5,9,15,30,E 41ST AVE / MAIN ST,Sunset,492609,5453363
Vehicle Collision or Pedestrian Struck (with Fatality),2012,3,16,22,30,E 41ST AVE / ROSS ST,Sunset,493988,5453334
Vehicle Collision or Pedestrian Struck (with Fatality),2021,10,13,20,37,E 41ST AVE / RUPERT ST,Killarney,496863,5453352
Vehicle Collision or Pedestrian Struck (with Fatality),2012,12,3,3,31,E 43RD AVE / PRINCE EDWARD ST,Sunset,492915,5453151
Vehicle Collision or Pedestrian Struck (with Fatality),2004,12,29,14,30,E 49TH AVE / ELLIOTT ST,Victoria-Fraserview,496015,5452448
Vehicle Collision or Pedestrian Struck (with Fatality),2016,2,8,11,51,E 49TH AVE / FRASER ST,Sunset,493395,5452521
Vehicle Collision or Pedestrian Struck (with Fatality),2010,1,10,0,29,E 49TH AVE / KERR ST,Killarney,497011,5452437
Vehicle Collision or Pedestrian Struck (with Fatality),2005,11,29,6,22,E 49TH AVE / MAIN ST,Sunset,492599,5452545
Vehicle Collision or Pedestrian Struck (with Fatality),2019,10,2,18,21,E 49TH AVE / TYNE ST,Killarney,497650,5452428
Vehicle Collision or Pedestrian Struck (with Fatality),2004,3,17,9,48,E 49TH AVE / WINDSOR ST,Sunset,493792,5452516
Vehicle Collision or Pedestrian Struck (with Fatality),2004,11,1,16,35,E 54TH AVE / KERR ST,Killarney,496993,5451931
Vehicle Collision or Pedestrian Struck (with Fatality),2006,2,3,19,35,E 55TH AVE / KERR ST,Killarney,496988,5451824
Vehicle Collision or Pedestrian Struck (with Fatality),2015,2,10,1,20,E 6TH AVE / KEITH DR,Mount Pleasant,494223,5456940
Vehicle Collision or Pedestrian Struck (with Fatality),2010,7,21,23,51,E 8TH AVE / QUEBEC ST,Mount Pleasant,492511,5456779
Vehicle Collision or Pedestrian Struck (with Fatality),2006,12,5,15,12,E BROADWAY AVE / CLARK DR,Mount Pleasant,494352,5456628
Vehicle Collision or Pedestrian Struck (with Fatality),2015,7,4,13,21,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,492749,5456683
Vehicle Collision or Pedestrian Struck (with Fatality),2014,4,8,14,26,E BROADWAY AVE / ST CATHERINES ST,Mount Pleasant,493796,5456635
Vehicle Collision or Pedestrian Struck (with Fatality),2015,3,7,15,54,E CORDOVA ST / HAWKS AVE,Strathcona,493664,5458814
Vehicle Collision or Pedestrian Struck (with Fatality),2021,4,20,12,12,E CORDOVA ST / PRINCESS AVE,Strathcona,493351,5458824
Vehicle Collision or Pedestrian Struck (with Fatality),2006,7,9,11,41,E HASTINGS ST / CARRALL ST,Central Business District,492412,5458751
Vehicle Collision or Pedestrian Struck (with Fatality),2013,6,4,17,30,E HASTINGS ST / CARRALL ST,Central Business District,492412,5458751
Vehicle Collision or Pedestrian Struck (with Fatality),2011,6,25,5,27,E HASTINGS ST / JACKSON AVE,Strathcona,493205,5458724
Vehicle Collision or Pedestrian Struck (with Fatality),2012,6,25,4,12,E HASTINGS ST / JACKSON AVE,Strathcona,493205,5458724
Vehicle Collision or Pedestrian Struck (with Fatality),2008,1,5,3,56,E HASTINGS ST / KAMLOOPS ST,Hastings-Sunrise,496030,5458713
Vehicle Collision or Pedestrian Struck (with Fatality),2010,1,4,7,12,E HASTINGS ST / KOOTENAY ST,Hastings-Sunrise,498130,5458709
Vehicle Collision or Pedestrian Struck (with Fatality),2011,1,13,12,48,E HASTINGS ST / NANAIMO ST,Hastings-Sunrise,495888,5458714
Vehicle Collision or Pedestrian Struck (with Fatality),2013,11,26,9,20,E HASTINGS ST / SALSBURY DR,Grandview-Woodland,495033,5458722
Vehicle Collision or Pedestrian Struck (with Fatality),2021,12,4,2,49,E HASTINGS ST / VERNON DR,Strathcona,494242,5458709
